Africa,Africa
Abidjan,Abidjan
Accra,Accra
Addis_Ababa,Addis Ababa
Algiers,Algiers
Asmara,Asmara
Asmera,Asmera
Bamako,Bamako
Bangui,Bangui
Banjul,Banjul
Bissau,Bissau
Blantyre,Blantyre
Brazzaville,Brazzaville
Bujumbura,Bujumbura
Cairo,Cairo
Casablanca,Casablanca
Ceuta,Ceuta
Conakry,Conakry
Dakar,Dakar
Dar_es_Salaam,Dar es Salaam
Djibouti,Djibouti
Douala,Douala
El_Aaiun,El Aaiun
Freetown,Freetown
Gaborone,Gaborone
Harare,Harare
Johannesburg,Johannesburg
Juba,Juba
Kampala,Kampala
Khartoum,Khartoum
Kigali,Kigali
Kinshasa,Kinshasa
Lagos,Lagos
Libreville,Libreville
Lome,Lome
Luanda,Luanda
Lubumbashi,Lubumbashi
Lusaka,Lusaka
Malabo,Malabo
Maputo,Maputo
Maseru,Maseru
Mbabane,Mbabane
Mogadishu,Mogadishu
Monrovia,Monrovia
Nairobi,Nairobi
Ndjamena,Ndjamena
Niamey,Niamey
Nouakchott,Nouakchott
Ouagadougou,Ouagadougou
Porto-Novo,Porto-Novo
Sao_Tome,Sao Tome
Timbuktu,Timbuktu
Tripoli,Tripoli
Tunis,Tunis
Windhoek,Windhoek
America,America
Adak,Adak
Anchorage,Anchorage
Anguilla,Anguilla
Antigua,Antigua
Araguaina,Araguaina
Argentina,Argentina
Buenos_Aires,Buenos Aires
Catamarca,Catamarca
ComodRivadavia,ComodRivadavia
Cordoba,Cordoba
Jujuy,Jujuy
La_Rioja,La Rioja
Mendoza,Mendoza
Rio_Gallegos,Rio Gallegos
Salta,Salta
San_Juan,San Juan
San_Luis,San Luis
Tucuman,Tucuman
Ushuaia,Ushuaia
Aruba,Aruba
Asuncion,Asuncion
Atikokan,Atikokan
Atka,Atka
Bahia,Bahia
Bahia_Banderas,Bahia Banderas
Barbados,Barbados
Belem,Belem
Belize,Belize
Blanc-Sablon,Blanc-Sablon
Boa_Vista,Boa Vista
Bogota,Bogota
Boise,Boise
Cambridge_Bay,Cambridge Bay
Campo_Grande,Campo Grande
Cancun,Cancun
Caracas,Caracas
Cayenne,Cayenne
Cayman,Cayman
Chicago,Chicago
Chihuahua,Chihuahua
Coral_Harbour,Coral Harbour
Costa_Rica,Costa Rica
Creston,Creston
Cuiaba,Cuiaba
Curacao,Curacao
Danmarkshavn,Danmarkshavn
Dawson,Dawson
Dawson_Creek,Dawson Creek
Denver,Denver
Detroit,Detroit
Dominica,Dominica
Edmonton,Edmonton
Eirunepe,Eirunepe
El_Salvador,El Salvador
Ensenada,Ensenada
Fort_Wayne,Fort Wayne
Fortaleza,Fortaleza
Glace_Bay,Glace Bay
Godthab,Godthab
Goose_Bay,Goose Bay
Grand_Turk,Grand Turk
Grenada,Grenada
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guayaquil,Guayaquil
Guyana,Guyana
Halifax,Halifax
Havana,Havana
Hermosillo,Hermosillo
Indiana,Indiana
Indianapolis,Indianapolis
Knox,Knox
Marengo,Marengo
Petersburg,Petersburg
Tell_City,Tell City
Vevay,Vevay
Vincennes,Vincennes
Winamac,Winamac
Inuvik,Inuvik
Iqaluit,Iqaluit
Jamaica,Jamaica
Juneau,Juneau
Kentucky,Kentucky
Louisville,Louisville
Monticello,Monticello
Knox_IN,Knox IN
Kralendijk,Kralendijk
La_Paz,La Paz
Lima,Lima
Los_Angeles,Los Angeles
Lower_Princes,Lower Princes
Maceio,Maceio
Managua,Managua
Manaus,Manaus
Marigot,Marigot
Martinique,Martinique
Matamoros,Matamoros
Mazatlan,Mazatlan
Menominee,Menominee
Merida,Merida
Metlakatla,Metlakatla
Mexico_City,Mexico City
Miquelon,Miquelon
Moncton,Moncton
Monterrey,Monterrey
Montevideo,Montevideo
Montreal,Montreal
Montserrat,Montserrat
Nassau,Nassau
New_York,New York
Nipigon,Nipigon
Nome,Nome
Noronha,Noronha
North_Dakota,North Dakota
Beulah,Beulah
Center,Center
New_Salem,New Salem
Ojinaga,Ojinaga
Panama,Panama
Pangnirtung,Pangnirtung
Paramaribo,Paramaribo
Phoenix,Phoenix
Port-au-Prince,Port-au-Prince
Port_of_Spain,Port of Spain
Porto_Acre,Porto Acre
Porto_Velho,Porto Velho
Puerto_Rico,Puerto Rico
Rainy_River,Rainy River
Rankin_Inlet,Rankin Inlet
Recife,Recife
Regina,Regina
Resolute,Resolute
Rio_Branco,Rio Branco
Rosario,Rosario
Santa_Isabel,Santa Isabel
Santarem,Santarem
Santiago,Santiago
Santo_Domingo,Santo Domingo
Sao_Paulo,Sao Paulo
Scoresbysund,Scoresbysund
Shiprock,Shiprock
Sitka,Sitka
St_Barthelemy,St Barthelemy
St_Johns,St Johns
St_Kitts,St Kitts
St_Lucia,St Lucia
St_Thomas,St Thomas
St_Vincent,St Vincent
Swift_Current,Swift Current
Tegucigalpa,Tegucigalpa
Thule,Thule
Thunder_Bay,Thunder Bay
Tijuana,Tijuana
Toronto,Toronto
Tortola,Tortola
Vancouver,Vancouver
Virgin,Virgin
Whitehorse,Whitehorse
Winnipeg,Winnipeg
Yakutat,Yakutat
Yellowknife,Yellowknife
Antarctica,Antarctica
Casey,Casey
Davis,Davis
DumontDUrville,DumontDUrville
Macquarie,Macquarie
Mawson,Mawson
McMurdo,McMurdo
Palmer,Palmer
Rothera,Rothera
South_Pole,South Pole
Syowa,Syowa
Vostok,Vostok
Arctic,Arctic
Longyearbyen,Longyearbyen
Asia,Asia
Aden,Aden
Almaty,Almaty
Amman,Amman
Anadyr,Anadyr
Aqtau,Aqtau
Aqtobe,Aqtobe
Ashgabat,Ashgabat
Ashkhabad,Ashkhabad
Baghdad,Baghdad
Bahrain,Bahrain
Baku,Baku
Bangkok,Bangkok
Beirut,Beirut
Bishkek,Bishkek
Brunei,Brunei
Calcutta,Calcutta
Choibalsan,Choibalsan
Chongqing,Chongqing
Chungking,Chungking
Colombo,Colombo
Dacca,Dacca
Damascus,Damascus
Dhaka,Dhaka
Dili,Dili
Dubai,Dubai
Dushanbe,Dushanbe
Gaza,Gaza
Harbin,Harbin
Hebron,Hebron
Ho_Chi_Minh,Ho Chi Minh
Hong_Kong,Hong Kong
Hovd,Hovd
Irkutsk,Irkutsk
Istanbul,Istanbul
Jakarta,Jakarta
Jayapura,Jayapura
Jerusalem,Jerusalem
Kabul,Kabul
Kamchatka,Kamchatka
Karachi,Karachi
Kashgar,Kashgar
Kathmandu,Kathmandu
Katmandu,Katmandu
Kolkata,Kolkata
Krasnoyarsk,Krasnoyarsk
Kuala_Lumpur,Kuala Lumpur
Kuching,Kuching
Kuwait,Kuwait
Macao,Macao
Macau,Macau
Magadan,Magadan
Makassar,Makassar
Manila,Manila
Muscat,Muscat
Nicosia,Nicosia
Novokuznetsk,Novokuznetsk
Novosibirsk,Novosibirsk
Omsk,Omsk
Oral,Oral
Phnom_Penh,Phnom Penh
Pontianak,Pontianak
Pyongyang,Pyongyang
Qatar,Qatar
Qyzylorda,Qyzylorda
Rangoon,Rangoon
Riyadh,Riyadh
Saigon,Saigon
Sakhalin,Sakhalin
Samarkand,Samarkand
Seoul,Seoul
Shanghai,Shanghai
Singapore,Singapore
Taipei,Taipei
Tashkent,Tashkent
Tbilisi,Tbilisi
Tehran,Tehran
Tel_Aviv,Tel Aviv
Thimbu,Thimbu
Thimphu,Thimphu
Tokyo,Tokyo
Ujung_Pandang,Ujung Pandang
Ulaanbaatar,Ulaanbaatar
Ulan_Bator,Ulan Bator
Urumqi,Urumqi
Vientiane,Vientiane
Vladivostok,Vladivostok
Yakutsk,Yakutsk
Yekaterinburg,Yekaterinburg
Yerevan,Yerevan
Atlantic,Atlantic
Azores,Azores
Bermuda,Bermuda
Canary,Canary
Cape_Verde,Cape Verde
Faeroe,Faeroe
Faroe,Faroe
Jan_Mayen,Jan Mayen
Madeira,Madeira
Reykjavik,Reykjavik
South_Georgia,South Georgia
St_Helena,St Helena
Stanley,Stanley
Australia,Australia
ACT,ACT
Adelaide,Adelaide
Brisbane,Brisbane
Broken_Hill,Broken Hill
Canberra,Canberra
Currie,Currie
Darwin,Darwin
Eucla,Eucla
Hobart,Hobart
LHI,LHI
Lindeman,Lindeman
Lord_Howe,Lord Howe
Melbourne,Melbourne
NSW,NSW
North,North
Perth,Perth
Queensland,Queensland
South,South
Sydney,Sydney
Tasmania,Tasmania
Victoria,Victoria
West,West
Yancowinna,Yancowinna
Brazil,Brazil
Acre,Acre
DeNoronha,DeNoronha
East,East
CET,CET
CST6CDT,CST6CDT
Canada,Canada
Atlantic,Atlantic
Central,Central
East-Saskatchewan,East-Saskatchewan
Eastern,Eastern
Mountain,Mountain
Newfoundland,Newfoundland
Pacific,Pacific
Saskatchewan,Saskatchewan
Yukon,Yukon
Chile,Chile
Continental,Continental
EasterIsland,EasterIsland
Cuba,Cuba
EET,EET
EST,EST
EST5EDT,EST5EDT
Egypt,Egypt
Eire,Eire
Etc,Etc
GMT,GMT
GMT+0,GMT+0
GMT+1,GMT+1
GMT+10,GMT+10
GMT+11,GMT+11
GMT+12,GMT+12
GMT+2,GMT+2
GMT+3,GMT+3
GMT+4,GMT+4
GMT+5,GMT+5
GMT+6,GMT+6
GMT+7,GMT+7
GMT+8,GMT+8
GMT+9,GMT+9
GMT-0,GMT-0
GMT-1,GMT-1
GMT-10,GMT-10
GMT-11,GMT-11
GMT-12,GMT-12
GMT-13,GMT-13
GMT-14,GMT-14
GMT-2,GMT-2
GMT-3,GMT-3
GMT-4,GMT-4
GMT-5,GMT-5
GMT-6,GMT-6
GMT-7,GMT-7
GMT-8,GMT-8
GMT-9,GMT-9
GMT0,GMT0
Greenwich,Greenwich
UCT,UCT
UTC,UTC
Universal,Universal
Zulu,Zulu
Europe,Europe
Amsterdam,Amsterdam
Andorra,Andorra
Athens,Athens
Belfast,Belfast
Belgrade,Belgrade
Berlin,Berlin
Bratislava,Bratislava
Brussels,Brussels
Bucharest,Bucharest
Budapest,Budapest
Chisinau,Chisinau
Copenhagen,Copenhagen
Dublin,Dublin
Gibraltar,Gibraltar
Guernsey,Guernsey
Helsinki,Helsinki
Isle_of_Man,Isle of Man
Jersey,Jersey
Kaliningrad,Kaliningrad
Kiev,Kiev
Lisbon,Lisbon
Ljubljana,Ljubljana
London,London
Luxembourg,Luxembourg
Madrid,Madrid
Malta,Malta
Mariehamn,Mariehamn
Minsk,Minsk
Monaco,Monaco
Moscow,Moscow
Oslo,Oslo
Paris,Paris
Podgorica,Podgorica
Prague,Prague
Riga,Riga
Rome,Rome
Samara,Samara
San_Marino,San Marino
Sarajevo,Sarajevo
Simferopol,Simferopol
Skopje,Skopje
Sofia,Sofia
Stockholm,Stockholm
Tallinn,Tallinn
Tirane,Tirane
Tiraspol,Tiraspol
Uzhgorod,Uzhgorod
Vaduz,Vaduz
Vatican,Vatican
Vienna,Vienna
Vilnius,Vilnius
Volgograd,Volgograd
Warsaw,Warsaw
Zagreb,Zagreb
Zaporozhye,Zaporozhye
Zurich,Zurich
Factory,Factory
GB,GB
GB-Eire,GB-Eire
HST,HST
Hongkong,Hongkong
Iceland,Iceland
Indian,Indian
Antananarivo,Antananarivo
Chagos,Chagos
Christmas,Christmas
Cocos,Cocos
Comoro,Comoro
Kerguelen,Kerguelen
Mahe,Mahe
Maldives,Maldives
Mauritius,Mauritius
Mayotte,Mayotte
Reunion,Reunion
Iran,Iran
Israel,Israel
Japan,Japan
Kwajalein,Kwajalein
Libya,Libya
MET,MET
MST,MST
MST7MDT,MST7MDT
Mexico,Mexico
BajaNorte,BajaNorte
BajaSur,BajaSur
General,General
NZ,NZ
NZ-CHAT,NZ-CHAT
Navajo,Navajo
PRC,PRC
PST8PDT,PST8PDT
Pacific,Pacific
Apia,Apia
Auckland,Auckland
Chatham,Chatham
Chuuk,Chuuk
Easter,Easter
Efate,Efate
Enderbury,Enderbury
Fakaofo,Fakaofo
Fiji,Fiji
Funafuti,Funafuti
Galapagos,Galapagos
Gambier,Gambier
Guadalcanal,Guadalcanal
Guam,Guam
Honolulu,Honolulu
Johnston,Johnston
Kiritimati,Kiritimati
Kosrae,Kosrae
Majuro,Majuro
Marquesas,Marquesas
Midway,Midway
Nauru,Nauru
Niue,Niue
Norfolk,Norfolk
Noumea,Noumea
Pago_Pago,Pago Pago
Palau,Palau
Pitcairn,Pitcairn
Pohnpei,Pohnpei
Ponape,Ponape
Port_Moresby,Port Moresby
Rarotonga,Rarotonga
Saipan,Saipan
Samoa,Samoa
Tahiti,Tahiti
Tarawa,Tarawa
Tongatapu,Tongatapu
Truk,Truk
Wake,Wake
Wallis,Wallis
Yap,Yap
Poland,Poland
Portugal,Portugal
ROC,ROC
ROK,ROK
Turkey,Turkey
US,US
Alaska,Alaska
Aleutian,Aleutian
Arizona,Arizona
East-Indiana,East-Indiana
Hawaii,Hawaii
Indiana-Starke,Indiana-Starke
Michigan,Michigan
Pacific-New,Pacific-New
W-SU,W-SU
WET,WET
